edgedef>node1 VARCHAR,node2 VARCHAR, weight DOUBLE, size DOUBLE
1 , 68 , 3.49 , 3.49
1 , 69 , 1.8 , 1.8
2 , 67 , 4.13 , 4.13
3 , 73 , 3.77 , 3.77
4 , 70 , 2.31 , 2.31
4 , 74 , 2.38 , 2.38
5 , 70 , 1.59 , 1.59
5 , 69 , 2.4 , 2.4
6 , 67 , 2.05 , 2.05
6 , 71 , 2.4 , 2.4
7 , 68 , 2.73 , 2.73
7 , 73 , 1.61 , 1.61
8 , 74 , 3.77 , 3.77
8 , 73 , 2.43 , 2.43
9 , 68 , 2.17 , 2.17
9 , 69 , 1.59 , 1.59
9 , 73 , 2.45 , 2.45
10 , 70 , 5.83 , 5.83
11 , 71 , 2.69 , 2.69
12 , 68 , 2.48 , 2.48
12 , 73 , 3.93 , 3.93
13 , 75 , 3.16 , 3.16
14 , 68 , 2.01 , 2.01
14 , 67 , 2.37 , 2.37
14 , 72 , 2.32 , 2.32
15 , 70 , 3.23 , 3.23
16 , 75 , 2.22 , 2.22
16 , 70 , 4.51 , 4.51
17 , 70 , 4.84 , 4.84
18 , 75 , 3.23 , 3.23
19 , 66 , 6.28 , 6.28
20 , 67 , 2.8 , 2.8
20 , 71 , 1.53 , 1.53
20 , 74 , 1.68 , 1.68
21 , 67 , 2.1 , 2.1
21 , 71 , 2.48 , 2.48
22 , 66 , 2.42 , 2.42
22 , 73 , 1.52 , 1.52
23 , 74 , 2.26 , 2.26
23 , 66 , 1.76 , 1.76
23 , 71 , 3.24 , 3.24
24 , 69 , 1.66 , 1.66
24 , 71 , 4.32 , 4.32
25 , 72 , 1.88 , 1.88
25 , 71 , 2.69 , 2.69
25 , 73 , 2.55 , 2.55
26 , 69 , 3.32 , 3.32
28 , 69 , 2.46 , 2.46
28 , 74 , 2.63 , 2.63
29 , 66 , 1.74 , 1.74
29 , 69 , 2.09 , 2.09
29 , 71 , 2.21 , 2.21
29 , 74 , 1.51 , 1.51
30 , 72 , 4.78 , 4.78
31 , 72 , 4.62 , 4.62
32 , 71 , 3.48 , 3.48
33 , 70 , 3.76 , 3.76
34 , 66 , 2.89 , 2.89
34 , 75 , 2.04 , 2.04
34 , 68 , 1.73 , 1.73
35 , 70 , 3.16 , 3.16
36 , 69 , 4.62 , 4.62
37 , 75 , 2.66 , 2.66
37 , 66 , 1.95 , 1.95
38 , 68 , 1.59 , 1.59
38 , 74 , 1.63 , 1.63
39 , 69 , 2.67 , 2.67
40 , 73 , 3.5 , 3.5
40 , 68 , 1.6 , 1.6
40 , 69 , 1.83 , 1.83
41 , 69 , 2.1 , 2.1
41 , 72 , 2.32 , 2.32
42 , 66 , 6.01 , 6.01
43 , 68 , 2.41 , 2.41
43 , 72 , 1.92 , 1.92
44 , 67 , 9.31 , 9.31
45 , 66 , 2.44 , 2.44
46 , 75 , 3.11 , 3.11
46 , 73 , 2.08 , 2.08
47 , 68 , 3.28 , 3.28
48 , 68 , 3.01 , 3.01
48 , 73 , 1.65 , 1.65
49 , 75 , 2.02 , 2.02
49 , 68 , 1.85 , 1.85
50 , 72 , 3.36 , 3.36
51 , 69 , 1.54 , 1.54
51 , 74 , 1.65 , 1.65
51 , 73 , 2.25 , 2.25
52 , 68 , 1.72 , 1.72
52 , 71 , 1.77 , 1.77
52 , 74 , 2.9 , 2.9
53 , 74 , 1.65 , 1.65
53 , 68 , 4.18 , 4.18
54 , 68 , 4.84 , 4.84
55 , 68 , 3.31 , 3.31
55 , 69 , 1.58 , 1.58
55 , 73 , 1.63 , 1.63
56 , 75 , 3.88 , 3.88
56 , 72 , 1.71 , 1.71
57 , 68 , 1.69 , 1.69
57 , 73 , 1.79 , 1.79
58 , 75 , 5.84 , 5.84
59 , 75 , 4.4 , 4.4
60 , 66 , 1.96 , 1.96
60 , 73 , 2.43 , 2.43
61 , 69 , 1.91 , 1.91
61 , 71 , 4.12 , 4.12
62 , 68 , 1.89 , 1.89
62 , 71 , 1.79 , 1.79
63 , 68 , 3.48 , 3.48
63 , 71 , 1.95 , 1.95
64 , 75 , 2.25 , 2.25
64 , 68 , 3.38 , 3.38
65 , 66 , 2.85 , 2.85
65 , 71 , 2.52 , 2.52
