DocID,Topic,Score,File,Author
42,Topic2,0.136,stevenson_treasure_ch1.txt,stevenson
42,Topic12,0.162,stevenson_treasure_ch1.txt,stevenson
42,Topic5,0.290,stevenson_treasure_ch1.txt,stevenson
43,Topic2,0.128,stevenson_treasure_ch2.txt,stevenson
43,Topic12,0.281,stevenson_treasure_ch2.txt,stevenson
43,Topic5,0.330,stevenson_treasure_ch2.txt,stevenson
24,Topic9,0.441,eliot_middlemarch_ch2.txt,eliot
24,Topic3,0.176,eliot_middlemarch_ch2.txt,eliot
24,Topic2,0.104,eliot_middlemarch_ch2.txt,eliot
25,Topic9,0.331,eliot_middlemarch_ch48.txt,eliot
25,Topic3,0.160,eliot_middlemarch_ch48.txt,eliot
25,Topic2,0.107,eliot_middlemarch_ch48.txt,eliot
26,Topic9,0.267,eliot_middlemarch_ch73.txt,eliot
26,Topic11,0.131,eliot_middlemarch_ch73.txt,eliot
26,Topic3,0.157,eliot_middlemarch_ch73.txt,eliot
27,Topic1,0.396,eljames_fiftyshades_ch1.txt,eljames
27,Topic3,0.168,eljames_fiftyshades_ch1.txt,eljames
27,Topic12,0.124,eljames_fiftyshades_ch1.txt,eljames
27,Topic15,0.119,eljames_fiftyshades_ch1.txt,eljames
20,Topic11,0.118,doyle_caseofidentity.txt,doyle
20,Topic10,0.330,doyle_caseofidentity.txt,doyle
20,Topic3,0.130,doyle_caseofidentity.txt,doyle
20,Topic2,0.114,doyle_caseofidentity.txt,doyle
21,Topic11,0.389,doyle_redheadedleague.txt,doyle
21,Topic10,0.143,doyle_redheadedleague.txt,doyle
21,Topic12,0.113,doyle_redheadedleague.txt,doyle
21,Topic2,0.115,doyle_redheadedleague.txt,doyle
22,Topic2,0.119,doyle_scandalbohemia.txt,doyle
22,Topic10,0.369,doyle_scandalbohemia.txt,doyle
22,Topic12,0.150,doyle_scandalbohemia.txt,doyle
23,Topic9,0.383,eliot_middlemarch_ch1.txt,eliot
23,Topic3,0.157,eliot_middlemarch_ch1.txt,eliot
28,Topic1,0.268,eljames_fiftyshades_ch18.txt,eljames
28,Topic12,0.113,eljames_fiftyshades_ch18.txt,eljames
28,Topic15,0.461,eljames_fiftyshades_ch18.txt,eljames
29,Topic1,0.397,eljames_fiftyshades_ch2.txt,eljames
29,Topic3,0.145,eljames_fiftyshades_ch2.txt,eljames
29,Topic15,0.130,eljames_fiftyshades_ch2.txt,eljames
40,Topic2,0.103,meyer_twilight_ch2.txt,meyer
40,Topic8,0.410,meyer_twilight_ch2.txt,meyer
40,Topic3,0.127,meyer_twilight_ch2.txt,meyer
40,Topic12,0.163,meyer_twilight_ch2.txt,meyer
41,Topic8,0.283,meyer_twilight_ch21.txt,meyer
41,Topic3,0.136,meyer_twilight_ch21.txt,meyer
41,Topic12,0.289,meyer_twilight_ch21.txt,meyer
1,Topic3,0.201,austen_pride_ch1.txt,austen
1,Topic6,0.476,austen_pride_ch1.txt,austen
3,Topic3,0.204,austen_pride_ch40.txt,austen
3,Topic2,0.106,austen_pride_ch40.txt,austen
3,Topic6,0.457,austen_pride_ch40.txt,austen
2,Topic3,0.101,austen_pride_ch2.txt,austen
2,Topic2,0.125,austen_pride_ch2.txt,austen
2,Topic6,0.432,austen_pride_ch2.txt,austen
5,Topic3,0.121,austen_sense_ch1.txt,austen
5,Topic6,0.576,austen_sense_ch1.txt,austen
4,Topic3,0.131,austen_pride_ch50.txt,austen
4,Topic6,0.524,austen_pride_ch50.txt,austen
7,Topic3,0.162,austen_sense_ch27.txt,austen
7,Topic2,0.125,austen_sense_ch27.txt,austen
7,Topic6,0.449,austen_sense_ch27.txt,austen
6,Topic3,0.189,austen_sense_ch2.txt,austen
6,Topic6,0.549,austen_sense_ch2.txt,austen
9,Topic2,0.109,barrie_peterpan_ch1.txt,barrie
9,Topic5,0.469,barrie_peterpan_ch1.txt,barrie
8,Topic3,0.184,austen_sense_ch41.txt,austen
8,Topic6,0.480,austen_sense_ch41.txt,austen
39,Topic2,0.122,meyer_twilight_ch15.txt,meyer
39,Topic8,0.258,meyer_twilight_ch15.txt,meyer
39,Topic12,0.183,meyer_twilight_ch15.txt,meyer
39,Topic15,0.158,meyer_twilight_ch15.txt,meyer
38,Topic8,0.382,meyer_twilight_ch1.txt,meyer
38,Topic3,0.102,meyer_twilight_ch1.txt,meyer
38,Topic12,0.169,meyer_twilight_ch1.txt,meyer
11,Topic2,0.123,barrie_peterpan_ch2.txt,barrie
11,Topic5,0.532,barrie_peterpan_ch2.txt,barrie
10,Topic12,0.104,barrie_peterpan_ch15.txt,barrie
10,Topic5,0.144,barrie_peterpan_ch15.txt,barrie
10,Topic4,0.422,barrie_peterpan_ch15.txt,barrie
13,Topic12,0.125,brown_angels_ch2_4.txt,brown
13,Topic7,0.405,brown_angels_ch2_4.txt,brown
12,Topic2,0.113,brown_angels_ch1.txt,brown
12,Topic7,0.429,brown_angels_ch1.txt,brown
15,Topic12,0.136,brown_davinci_ch1.txt,brown
15,Topic7,0.449,brown_davinci_ch1.txt,brown
14,Topic3,0.100,brown_davinci_ch0.txt,brown
14,Topic2,0.102,brown_davinci_ch0.txt,brown
14,Topic15,0.132,brown_davinci_ch0.txt,brown
14,Topic7,0.350,brown_davinci_ch0.txt,brown
17,Topic13,0.642,brown_davinci_ch92.txt,brown
16,Topic13,0.703,brown_davinci_ch77.txt,brown
19,Topic12,0.162,conrad_secret_ch2.txt,conrad
19,Topic14,0.396,conrad_secret_ch2.txt,conrad
18,Topic11,0.122,conrad_secret_ch1.txt,conrad
18,Topic12,0.122,conrad_secret_ch1.txt,conrad
18,Topic14,0.285,conrad_secret_ch1.txt,conrad
18,Topic6,0.115,conrad_secret_ch1.txt,conrad
31,Topic12,0.109,grimms_hanselgretel.txt,grimms
31,Topic2,0.242,grimms_hanselgretel.txt,grimms
31,Topic4,0.498,grimms_hanselgretel.txt,grimms
30,Topic1,0.363,eljames_fiftyshades_ch23.txt,eljames
30,Topic12,0.117,eljames_fiftyshades_ch23.txt,eljames
30,Topic15,0.326,eljames_fiftyshades_ch23.txt,eljames
37,Topic2,0.149,lewis_lionwitch_ch2.txt,lewis
37,Topic12,0.187,lewis_lionwitch_ch2.txt,lewis
37,Topic4,0.394,lewis_lionwitch_ch2.txt,lewis
36,Topic12,0.105,lewis_lionwitch_ch14.txt,lewis
36,Topic2,0.156,lewis_lionwitch_ch14.txt,lewis
36,Topic15,0.115,lewis_lionwitch_ch14.txt,lewis
36,Topic4,0.188,lewis_lionwitch_ch14.txt,lewis
36,Topic7,0.295,lewis_lionwitch_ch14.txt,lewis
35,Topic2,0.155,lewis_lionwitch_ch12.txt,lewis
35,Topic12,0.167,lewis_lionwitch_ch12.txt,lewis
35,Topic4,0.225,lewis_lionwitch_ch12.txt,lewis
35,Topic7,0.220,lewis_lionwitch_ch12.txt,lewis
34,Topic2,0.197,lewis_lionwitch_ch1.txt,lewis
34,Topic12,0.258,lewis_lionwitch_ch1.txt,lewis
34,Topic15,0.133,lewis_lionwitch_ch1.txt,lewis
34,Topic4,0.193,lewis_lionwitch_ch1.txt,lewis
33,Topic2,0.245,grimms_wateroflife.txt,grimms
33,Topic4,0.502,grimms_wateroflife.txt,grimms
32,Topic2,0.670,grimms_snowdrop.txt,grimms
32,Topic4,0.120,grimms_snowdrop.txt,grimms
