Doc,Topic,Score,Title
Doc0,Topic10,0.127,THE GOLDEN BIRD
Doc0,Topic1,0.063,THE GOLDEN BIRD
Doc0,Topic3,0.085,THE GOLDEN BIRD
Doc0,Topic2,0.274,THE GOLDEN BIRD
Doc0,Topic5,0.120,THE GOLDEN BIRD
Doc0,Topic4,0.109,THE GOLDEN BIRD
Doc0,Topic6,0.129,THE GOLDEN BIRD
Doc1,Topic3,0.144,HANS IN LUCK
Doc1,Topic5,0.054,HANS IN LUCK
Doc1,Topic4,0.103,HANS IN LUCK
Doc1,Topic7,0.177,HANS IN LUCK
Doc1,Topic6,0.384,HANS IN LUCK
Doc2,Topic1,0.448,JORINDA AND JORINDEL
Doc2,Topic3,0.081,JORINDA AND JORINDEL
Doc2,Topic2,0.081,JORINDA AND JORINDEL
Doc2,Topic5,0.214,JORINDA AND JORINDEL
Doc3,Topic10,0.132,THE TRAVELLING MUSICIANS
Doc3,Topic1,0.066,THE TRAVELLING MUSICIANS
Doc3,Topic3,0.268,THE TRAVELLING MUSICIANS
Doc3,Topic4,0.155,THE TRAVELLING MUSICIANS
Doc3,Topic6,0.055,THE TRAVELLING MUSICIANS
Doc3,Topic9,0.055,THE TRAVELLING MUSICIANS
Doc3,Topic8,0.168,THE TRAVELLING MUSICIANS
Doc4,Topic10,0.145,OLD SULTAN
Doc4,Topic3,0.291,OLD SULTAN
Doc4,Topic5,0.188,OLD SULTAN
Doc4,Topic4,0.064,OLD SULTAN
Doc4,Topic7,0.060,OLD SULTAN
Doc4,Topic6,0.067,OLD SULTAN
Doc4,Topic9,0.053,OLD SULTAN
Doc4,Topic8,0.067,OLD SULTAN
Doc5,Topic9,0.167,THE STRAW, THE COAL, AND THE BEAN
Doc5,Topic8,0.339,THE STRAW, THE COAL, AND THE BEAN
Doc5,Topic4,0.077,THE STRAW, THE COAL, AND THE BEAN
Doc5,Topic7,0.185,THE STRAW, THE COAL, AND THE BEAN
Doc6,Topic10,0.133,BRIAR ROSE
Doc6,Topic1,0.086,BRIAR ROSE
Doc6,Topic3,0.217,BRIAR ROSE
Doc6,Topic2,0.245,BRIAR ROSE
Doc6,Topic5,0.056,BRIAR ROSE
Doc6,Topic4,0.069,BRIAR ROSE
Doc6,Topic6,0.051,BRIAR ROSE
Doc6,Topic9,0.081,BRIAR ROSE
Doc7,Topic8,0.538,THE DOG AND THE SPARROW
Doc7,Topic3,0.096,THE DOG AND THE SPARROW
Doc7,Topic5,0.070,THE DOG AND THE SPARROW
Doc7,Topic4,0.099,THE DOG AND THE SPARROW
Doc7,Topic10,0.061,THE DOG AND THE SPARROW
Doc8,Topic10,0.054,THE TWELVE DANCING PRINCESSES
Doc8,Topic1,0.054,THE TWELVE DANCING PRINCESSES
Doc8,Topic3,0.088,THE TWELVE DANCING PRINCESSES
Doc8,Topic2,0.479,THE TWELVE DANCING PRINCESSES
Doc8,Topic5,0.104,THE TWELVE DANCING PRINCESSES
Doc8,Topic6,0.086,THE TWELVE DANCING PRINCESSES
Doc8,Topic9,0.050,THE TWELVE DANCING PRINCESSES
Doc9,Topic1,0.386,THE FISHERMAN AND HIS WIFE
Doc9,Topic10,0.288,THE FISHERMAN AND HIS WIFE
Doc9,Topic3,0.075,THE FISHERMAN AND HIS WIFE
Doc9,Topic2,0.068,THE FISHERMAN AND HIS WIFE
