DocID,Topic,Score,File,Author
42,Topic11,0.107,stevenson_treasure_ch1.txt,stevenson
42,Topic8,0.208,stevenson_treasure_ch1.txt,stevenson
42,Topic13,0.117,stevenson_treasure_ch1.txt,stevenson
42,Topic9,0.102,stevenson_treasure_ch1.txt,stevenson
42,Topic4,0.117,stevenson_treasure_ch1.txt,stevenson
43,Topic11,0.172,stevenson_treasure_ch2.txt,stevenson
43,Topic8,0.244,stevenson_treasure_ch2.txt,stevenson
43,Topic4,0.110,stevenson_treasure_ch2.txt,stevenson
24,Topic10,0.191,eliot_middlemarch_ch2.txt,eliot
24,Topic13,0.131,eliot_middlemarch_ch2.txt,eliot
24,Topic4,0.119,eliot_middlemarch_ch2.txt,eliot
25,Topic10,0.109,eliot_middlemarch_ch48.txt,eliot
25,Topic3,0.248,eliot_middlemarch_ch48.txt,eliot
26,Topic9,0.106,eliot_middlemarch_ch73.txt,eliot
26,Topic8,0.174,eliot_middlemarch_ch73.txt,eliot
26,Topic7,0.152,eliot_middlemarch_ch73.txt,eliot
27,Topic9,0.124,eljames_fiftyshades_ch1.txt,eljames
27,Topic10,0.107,eljames_fiftyshades_ch1.txt,eljames
27,Topic5,0.192,eljames_fiftyshades_ch1.txt,eljames
27,Topic14,0.216,eljames_fiftyshades_ch1.txt,eljames
27,Topic6,0.105,eljames_fiftyshades_ch1.txt,eljames
20,Topic13,0.144,doyle_caseofidentity.txt,doyle
20,Topic2,0.142,doyle_caseofidentity.txt,doyle
20,Topic3,0.120,doyle_caseofidentity.txt,doyle
21,Topic13,0.104,doyle_redheadedleague.txt,doyle
21,Topic2,0.238,doyle_redheadedleague.txt,doyle
22,Topic9,0.123,doyle_scandalbohemia.txt,doyle
22,Topic2,0.187,doyle_scandalbohemia.txt,doyle
23,Topic9,0.218,eliot_middlemarch_ch1.txt,eliot
23,Topic13,0.113,eliot_middlemarch_ch1.txt,eliot
23,Topic15,0.149,eliot_middlemarch_ch1.txt,eliot
23,Topic4,0.135,eliot_middlemarch_ch1.txt,eliot
