topicId,words..
1,looked walked turned sitting continued held pulled stared knew stepped
2,heard left answered find leave understand remarked put started save
3,hear read wrote appeared written entered reading wished putting write
4,thought put knew remember show returned thinking showed speak loved
5,feel takes asks pulls understand breathes flush move turn murmurs
6,ve coming meet love talking hurt worked answer met stay
7,live replied suppose dare knowing married settled paid received considered
8,told set called opened spoke began brought mind running die
9,call taking making lost watching wear dressed open wearing raise
10,make give made thought wanted hope expected walk shut smiling
11,cried stood fell ran wait closed reached lay carry dwarfs
12,asked feel waiting smiled caught glanced finished noticed decided laughed
13,found made felt gave sat began happened lived carried led
14,stop talk staring feeling sleep find stand sit leaving touched
15,turning raised giving wore remained observed keeping exclaimed raising startled
