topicId,rank,docId,filename
1,1,61,null-source
1,2,10,null-source
1,3,63,null-source
1,4,3,null-source
1,5,51,null-source
1,6,38,null-source
1,7,65,null-source
1,8,55,null-source
1,9,53,null-source
1,10,62,null-source
1,11,60,null-source
1,12,48,null-source
1,13,18,null-source
1,14,27,null-source
1,15,42,null-source
1,16,11,null-source
1,17,45,null-source
1,18,33,null-source
1,19,40,null-source
1,20,57,null-source
1,21,20,null-source
1,22,1,null-source
1,23,7,null-source
1,24,25,null-source
1,25,34,null-source
1,26,50,null-source
1,27,30,null-source
1,28,64,null-source
1,29,21,null-source
1,30,54,null-source
1,31,52,null-source
1,32,4,null-source
1,33,47,null-source
1,34,9,null-source
1,35,26,null-source
1,36,23,null-source
1,37,43,null-source
1,38,36,null-source
1,39,14,null-source
1,40,56,null-source
1,41,35,null-source
1,42,41,null-source
1,43,2,null-source
1,44,31,null-source
1,45,32,null-source
1,46,5,null-source
1,47,49,null-source
1,48,46,null-source
1,49,22,null-source
1,50,37,null-source
1,51,28,null-source
1,52,6,null-source
1,53,29,null-source
1,54,24,null-source
1,55,8,null-source
1,56,13,null-source
1,57,12,null-source
1,58,39,null-source
1,59,15,null-source
1,60,59,null-source
1,61,58,null-source
1,62,19,null-source
1,63,44,null-source
1,64,17,null-source
1,65,16,null-source
2,1,53,null-source
2,2,64,null-source
2,3,9,null-source
2,4,37,null-source
2,5,1,null-source
2,6,63,null-source
2,7,48,null-source
2,8,14,null-source
2,9,54,null-source
2,10,55,null-source
2,11,12,null-source
2,12,34,null-source
2,13,7,null-source
2,14,62,null-source
2,15,50,null-source
2,16,47,null-source
2,17,38,null-source
2,18,40,null-source
2,19,52,null-source
2,20,60,null-source
2,21,61,null-source
2,22,33,null-source
2,23,20,null-source
2,24,51,null-source
2,25,32,null-source
2,26,18,null-source
2,27,45,null-source
2,28,27,null-source
2,29,57,null-source
2,30,10,null-source
2,31,43,null-source
2,32,26,null-source
2,33,3,null-source
2,34,65,null-source
2,35,36,null-source
2,36,30,null-source
2,37,42,null-source
2,38,22,null-source
2,39,11,null-source
2,40,39,null-source
2,41,25,null-source
2,42,21,null-source
2,43,13,null-source
2,44,2,null-source
2,45,15,null-source
2,46,19,null-source
2,47,8,null-source
2,48,24,null-source
2,49,56,null-source
2,50,41,null-source
2,51,35,null-source
2,52,4,null-source
2,53,49,null-source
2,54,29,null-source
2,55,23,null-source
2,56,46,null-source
2,57,31,null-source
2,58,6,null-source
2,59,58,null-source
2,60,44,null-source
2,61,16,null-source
2,62,5,null-source
2,63,59,null-source
2,64,17,null-source
2,65,28,null-source
3,1,31,null-source
3,2,26,null-source
3,3,14,null-source
3,4,4,null-source
3,5,7,null-source
3,6,55,null-source
3,7,2,null-source
3,8,23,null-source
3,9,5,null-source
3,10,37,null-source
3,11,63,null-source
3,12,15,null-source
3,13,1,null-source
3,14,21,null-source
3,15,42,null-source
3,16,32,null-source
3,17,30,null-source
3,18,61,null-source
3,19,51,null-source
3,20,33,null-source
3,21,25,null-source
3,22,20,null-source
3,23,10,null-source
3,24,48,null-source
3,25,60,null-source
3,26,9,null-source
3,27,8,null-source
3,28,53,null-source
3,29,24,null-source
3,30,65,null-source
3,31,28,null-source
3,32,47,null-source
3,33,36,null-source
3,34,35,null-source
3,35,12,null-source
3,36,38,null-source
3,37,43,null-source
3,38,3,null-source
3,39,57,null-source
3,40,62,null-source
3,41,41,null-source
3,42,39,null-source
3,43,27,null-source
3,44,64,null-source
3,45,22,null-source
3,46,49,null-source
3,47,18,null-source
3,48,16,null-source
3,49,13,null-source
3,50,17,null-source
3,51,45,null-source
3,52,11,null-source
3,53,44,null-source
3,54,52,null-source
3,55,50,null-source
3,56,19,null-source
3,57,34,null-source
3,58,56,null-source
3,59,6,null-source
3,60,46,null-source
3,61,58,null-source
3,62,54,null-source
3,63,40,null-source
3,64,29,null-source
3,65,59,null-source
4,1,14,null-source
4,2,37,null-source
4,3,25,null-source
4,4,48,null-source
4,5,35,null-source
4,6,17,null-source
4,7,50,null-source
4,8,1,null-source
4,9,2,null-source
4,10,15,null-source
4,11,4,null-source
4,12,41,null-source
4,13,64,null-source
4,14,51,null-source
4,15,26,null-source
4,16,31,null-source
4,17,49,null-source
4,18,21,null-source
4,19,61,null-source
4,20,63,null-source
4,21,54,null-source
4,22,38,null-source
4,23,16,null-source
4,24,8,null-source
4,25,34,null-source
4,26,12,null-source
4,27,7,null-source
4,28,53,null-source
4,29,62,null-source
4,30,60,null-source
4,31,43,null-source
4,32,33,null-source
4,33,65,null-source
4,34,52,null-source
4,35,23,null-source
4,36,42,null-source
4,37,36,null-source
4,38,20,null-source
4,39,18,null-source
4,40,55,null-source
4,41,28,null-source
4,42,27,null-source
4,43,40,null-source
4,44,32,null-source
4,45,5,null-source
4,46,56,null-source
4,47,30,null-source
4,48,22,null-source
4,49,9,null-source
4,50,47,null-source
4,51,6,null-source
4,52,13,null-source
4,53,10,null-source
4,54,3,null-source
4,55,58,null-source
4,56,45,null-source
4,57,24,null-source
4,58,59,null-source
4,59,19,null-source
4,60,57,null-source
4,61,46,null-source
4,62,11,null-source
4,63,44,null-source
4,64,39,null-source
4,65,29,null-source
5,1,42,null-source
5,2,21,null-source
5,3,24,null-source
5,4,32,null-source
5,5,18,null-source
5,6,39,null-source
5,7,65,null-source
5,8,1,null-source
5,9,26,null-source
5,10,3,null-source
5,11,61,null-source
5,12,60,null-source
5,13,20,null-source
5,14,25,null-source
5,15,27,null-source
5,16,22,null-source
5,17,51,null-source
5,18,37,null-source
5,19,35,null-source
5,20,5,null-source
5,21,9,null-source
5,22,34,null-source
5,23,41,null-source
5,24,33,null-source
5,25,2,null-source
5,26,63,null-source
5,27,38,null-source
5,28,48,null-source
5,29,15,null-source
5,30,12,null-source
5,31,11,null-source
5,32,53,null-source
5,33,8,null-source
5,34,30,null-source
5,35,7,null-source
5,36,50,null-source
5,37,31,null-source
5,38,23,null-source
5,39,16,null-source
5,40,64,null-source
5,41,62,null-source
5,42,29,null-source
5,43,19,null-source
5,44,55,null-source
5,45,40,null-source
5,46,28,null-source
5,47,47,null-source
5,48,43,null-source
5,49,13,null-source
5,50,14,null-source
5,51,10,null-source
5,52,17,null-source
5,53,4,null-source
5,54,57,null-source
5,55,54,null-source
5,56,59,null-source
5,57,58,null-source
5,58,56,null-source
5,59,45,null-source
5,60,49,null-source
5,61,46,null-source
5,62,36,null-source
5,63,52,null-source
5,64,6,null-source
5,65,44,null-source
6,1,2,null-source
6,2,26,null-source
6,3,36,null-source
6,4,55,null-source
6,5,52,null-source
6,6,47,null-source
6,7,20,null-source
6,8,60,null-source
6,9,53,null-source
6,10,1,null-source
6,11,61,null-source
6,12,56,null-source
6,13,63,null-source
6,14,43,null-source
6,15,65,null-source
6,16,31,null-source
6,17,48,null-source
6,18,51,null-source
6,19,21,null-source
6,20,9,null-source
6,21,50,null-source
6,22,34,null-source
6,23,30,null-source
6,24,24,null-source
6,25,57,null-source
6,26,27,null-source
6,27,64,null-source
6,28,62,null-source
6,29,7,null-source
6,30,38,null-source
6,31,32,null-source
6,32,4,null-source
6,33,37,null-source
6,34,13,null-source
6,35,41,null-source
6,36,33,null-source
6,37,23,null-source
6,38,15,null-source
6,39,42,null-source
6,40,40,null-source
6,41,10,null-source
6,42,5,null-source
6,43,17,null-source
6,44,3,null-source
6,45,45,null-source
6,46,8,null-source
6,47,39,null-source
6,48,14,null-source
6,49,46,null-source
